Serial No.,Box No.,Mens Clothes-Org,Mens Clothes-Eastern ,Mens Clothes-Western,Mens Clothes-Warm,Womens Clothes-Org,Womens Clothes-Eastern ,Womens Clothes-Western,Womens Clothes-Warm,Womens Clothes-Scarves,Womens Clothes-Formal/ Wedding,Boys Clothes-Eastern ,Boys Clothes-Western,Girls Clothes-Org,Girls Clothes-Eastern ,Girls Clothes-Western,Kids/ Babies,Shoes-Org,Shoes-Mens,Shoes-Womens,Shoes-Kids(Girls/Boys,Bedding-Pillows/ Cushions,Bedding-Sheets/ Pillowcases,Bedding-Blankets,Toys,Hygiene,Accessories/Stationary,Household Items,Bags/ Purses,Medical Supplies-Wheel chair,Medical Supplies-Walker,Medical Supplies-Crutches,Medical Supplies-Walking Sticks,Towels
1,1,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,
18,18,,,,,,,,,,,,,,,,278,,,,,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,
23,23,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
24,24,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,
25,25,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,,
27,27,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,,,,Masai Mara,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,
31,31,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,
32,32,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
33,33,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
