Serial No.,Box No.,Org,Mens Clothes-Eastern ,Mens Clothes-Western,Mens Clothes-Socks,Mens Clothes-Warm,Womens Clothes-Eastern ,Womens Clothes-Western,Womens Clothes-Warm,Womens Clothes-Scarves,Womens Clothes-Formal/ Wedding,Boys Clothes-Eastern ,Boys Clothes-Western,Girls Clothes-Eastern ,Girls Clothes-Western,Kids/ Babies,Shoes-Mens,Shoes-Womens,Shoes-Kids(Girls/Boys,Bedding-Pillows/ Cushions,Bedding-Sheets/ Pillowcases,Bedding-Blankets,Toys,Hygiene,Accessories/Stationary,Household Items,Bags/ Purses,Medical Supplies-Wheel chair,Towels
1,S1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
2,S2,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
3,S5,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
4,S7,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
5,S8,VOI,,,,,,X,,,,,,,,,,,,,,,,,,,,,
6,S12,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
7,S13,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
8,S14,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
9,S16,KBF,,,,,,,,,,,,,,,,,,,,,,,,,X,,
10,S21,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
11,S23,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
12,S25,voi,,,,,,,,,,,,,X,,,,,,,,,,,,,,
13,S29,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
14,S31,KBF,,,,,,,,,,,,,,,,X,,,,,,,,,,,
15,S34,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
16,S36,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
17,S40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,S41,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
19,S43,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
20,S44,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
21,S46,Masa Mara,,,,X,,,,,,,,,,,,,,,,,,,,,,,
22,S48,KBF,,,,,,,,,,,,,,,,x,,,,,,,,,,,
23,S49,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
24,S51,VOI,,,,,,,,,,,,X,,,,,,,,,,,,,,,
25,S52,KBF,,,,,X ,,,,,,,,,,,,,,,,,,,,,,
26,S53,VOI,,,,,,,,,,,,,,,,,,,,X,,,,,,,
27,S54,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
28,S58,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
29,S60,dar ul muslemeen,,,,,,,,,,,,,,,,,,,,,X,,,,,,
30,S61,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31,S62,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
32,S64,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
33,S65,LADY OF MERCY,,,,,,,,,,,,,,,,,,,,,,,X,,,,
34,S70,LADY OF MERCY,,,,,,,,,,,,,,,,,,,X,,,,,,,,
35,S72,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
36,S77,KBF,,,,,,,,,,,,,,,,,,,,,X,,,,,,
37,S80,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
38,S89,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
39,S90,X Masa Mara,,,,,,,,,,,,,,,,,,X,,,,,,,,,
40,S93,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
41,S96,X lady of mercy,,,,,,,,,,,,,,,,,,X,,,,,,,,,
42,S100,KBF,,,,,,,,,,,,,,,,,,,,,X,,,,,,
43,S101,X Lady of Mercy,,,,,,,,,,,,,,,,,,X,,,,,,,,,
44,S103,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
45,S104,,,,,,,,,,,,,,,,,,,X ,,,,,,,,,
46,S106,LADY OF MERCY,,,,,,,,,,,,,,,,,,,,,X,,,,,,
47,S115,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
48,S117,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
49,S123,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
50,S140,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
51,S141,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
52,S142,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
53,S143,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
54,S144,Dar ul Muslemeen,,,,,,X,,,,,,,,,,,,,,,,,,,,,
55,S145,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
56,S146,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,
57,S147,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
58,S148,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
59,S149,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
60,S150,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
61,S151,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
62,S152,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
63,S153,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
64,S154,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
65,S155,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
66,S156,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
67,S157,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
68,S158,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
69,S159,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
70,S160,KBF,,,,,,,,,,,,,,,,,,,,,,,X,,,,
71,S161,KBF,,,,,,X,,,,,,,,,,,,,,,,,X,,,,
72,S162,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
73,S163,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
74,S164,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
75,S165,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
76,S166,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
77,S167,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
78,S168,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
79,S169,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
80,S170,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
81,S171,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
82,S172,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
83,S173,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
84,S174,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
85,S175,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
86,S176,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
87,S177,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
88,S178,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
89,S179,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
90,S180,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
91,S181,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
92,S182,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
93,S183,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
94,S184,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
95,S185,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
96,S186,KBF,,,,,,,,,,,,,,,,,,,X ,,,,,,,,
97,S187,VOI,,,,,,,,,,,,,,,,,,,,,X,,,,,,
98,S188,KBF,,,,,,,,,,,,,X,,,,,,,,,,,,,,
99,S189,Dar ul muslemeen,,,,,,,,,,,,,X,,,,,,,,,,,,,,
100,S190,Dar ul muslemeen,,,,,,,,X,,,,,,,,,,,,,,,,,,,
101,S191,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
102,S192,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
103,S193,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
104,S194,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
105,S195,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
106,S196,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
107,S197,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
108,S198,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
109,S199,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
110,S200,lady of mercy,,,,,,,,,,,,,,,,,,,,,,,,,X,,
111,S201,KBF,,,,,,,,,,,,,,,,,,,,,,,,,X,,
112,S202,KBF,,,,,,,,,,,,,,,,,,,,,,,,,X,,
113,S203,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
114,S204,KBF,,X,,,,,,,,,,,,,,,,,,,,,,,,,
115,S205,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
116,S206,KBF,,,,,X,X,,,,,,,,,,,,,,,,,,,,,
117,S207,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
118,S208,VOI,,,,,,X,,,,,,,,,,,,,,,,,,,,,
119,S209,KBF,,,,,,X,,,,,,,,,,,,,,,,,,,,,
120,S210,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
121,S211,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
122,S212,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
123,S213,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
124,S214,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
125,S215,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
126,S216,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
127,S217,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
128,S218,Masa Mara,,,X,,,,,,,,,,,,,,,,,,,,,,,,
129,S219,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
130,S220,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
131,S221,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
132,S222,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
133,S223,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,
134,S224,Dar ul muslemeen,,,,,,,,,,,,,,,,,,,,,,,,,X,,
135,S225,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
136,S226,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
137,S227,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
138,S228,kbf,,,,,,,,,,,,,X,,,,,,,,,,,,,,
139,S229,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
140,S230,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
141,S231,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
142,S232,KBF,,,,,,,,,,,,,,,,,,,,,,X,,,,,
143,S233,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
144,S234,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
145,S235,VOI,,X,,,,,,,,,,,,,,,,,,,,,,,,,
146,S236,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
147,S237,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
148,S238,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
149,S239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,S240,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
151,S241,LADY OF MERCY,,,,,,,,,,,,,,,,,,,,,X,,,,,,
152,S242,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
153,S243,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
154,S244,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
155,S245,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
156,S246,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
157,S247,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
158,S248,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
159,S249,VOI,,X,,,,,,,,,,,,,,,,,,,,,,,,,
160,S250,VOI,,,,,,X,,,,,,,,,,,,,,,,,,,,,
161,S251,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
162,S252,VOI,,,,,,,,,,,,,,,,,X,,,,,,,,,,
163,S253,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
164,S254,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
165,S255,VOI,,,,,,,,,,,,,,,,,,,,,,,,,X,,
166,S256,KBF,,,,,,,,,,,,,,,X,,,,,,,,,,,,
167,S257,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
168,S258,VOI,,,,,,X  ,,,,,,,,,,,,,,,,,,,,,
169,S259,VOI,,,,X ,,,,,,,,,,,,,,,,,,,,,,,
170,S260,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
171,S261,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
172,S262,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
173,S263,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
174,S264,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
175,S265,KBF,,,,,,,,,,,,,,,,,,,,,X,,,,,,
176,S266,VOI,,,,,,,,,,,,,,,,,,,,,X,,,,,,
177,S267,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
178,S268,KBF,,,,,X,,,,,,,,,,,,,,,,,,,,,,
179,S269,VOI,,,,,,,,,,,,,,,,,,,,,,,,,X,,
180,S270,VOI,,,,,,,,,,,,,,,,,,,,,,X,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
